# lat, lon
21.767986159271125, -158.6526788575046
21.738670013099522, -158.6565970653974
21.721112248604737, -158.6565970653974
21.703554484109947, -158.6565970653974
21.68557107683953, -158.6571568093821
21.670891237929975, -158.64316320976502
21.776020166661162, -158.63308781804074
21.648907755938566, -158.63079795628522
21.626699360435037, -158.62217281033944
21.776020166661162, -158.61461626654622
21.610475529996023, -158.61293703459216
21.59325979987451, -158.60454087482194
21.77681824686547, -158.5961447150517
21.592244061432663, -158.58606932332742
21.784726496162712, -158.5776731635572
21.592606825161894, -158.5675977718329
21.792104552317227, -158.55984747050655
21.590647901024045, -158.5491262203384
21.796770251973186, -158.54073006056817
21.5847711286105, -158.53065466884388
21.796770251973186, -158.52225850907365
21.580635622097265, -158.51218311734937
21.78817554208063, -158.50417447264545
21.579257119926186, -158.49371156585485
21.775155579773163, -158.48755438202335
21.572589522582916, -158.47607963033735
21.765711630688845, -158.4686630225403
21.5549519500677, -158.46494072504217
21.75280933405252, -158.45075121503046
21.572001845341564, -158.44669307114154
21.750336494631597, -158.4315799835551
21.575484377142182, -158.42822151964702
21.74199292885928, -158.4131084320606
21.59529933817441, -158.4098432588166
21.56918438037787, -158.41534740799932
21.629480362993128, -158.39838285954048
21.740904637671587, -158.39463688056608
21.601240601917596, -158.39967457642823
21.646608391993286, -158.38016965142353
21.740904637671587, -158.37616532907157
21.66274978337823, -158.36297136371834
21.740904637671587, -158.35769377757705
21.679698025079617, -158.34438909363345
21.740904637671587, -158.3392222260825
21.68847690732701, -158.32488416862873
21.740396768450665, -158.320750674588
21.69909751312281, -158.30615427375668
21.72919946134173, -158.3042382270399
21.701399667558317, -158.29640181125433